Student_ID,Department,Gender_Grade,Ethnicity_Grade,Grade,Marks,Pass_Status,Gender_Demo,Age,Ethnicity_Demo,Parent_Education,Course,Department_Exec,Attendance_Percent,Marks_Exec,Semester,Top_Performer,Student Name,Department_Perf500,Semester_Perf500,Attendance %,Internal Marks,External Marks,Total Marks,Grade_Perf500,Gender,Ethnicity,Parental Education,Test Preparation,Math Score,Reading Score,Writing Score,student_id,age,gender,course,year,parent_education,internet_access,hostel_resident,class_type,weather,Marks Range,Score Distribution
11,ECE,Female,Group A,C,65,Pass,Female,21,Group A,High School,CIVIL,ECE,68,76,7,No,Student_11,CSE,4,96,35,37,72,B,Male,Group C,Master's Degree,Completed,70.39,72.16,77.83,200.99,21,female,bba,3rd year,no formal,yes,yes,offline,rainy,,Below Average
12,EEE,Male,Group B,D,48,Fail,Male,25,Group D,PhD,CIVIL,CSE,71,55,7,No,Student_12,EEE,4,67,27,54,81,B,Male,Group E,Associate's Degree,Completed,65.55,41.84,86.11,200.99,24,male,ba,2nd year,post graduate,no,no,offline,sunny,,Poor
13,EEE,Male,Group A,B,82,Pass,Male,18,Group E,Master,CSE,CSE,99,48,7,No,Student_13,CIVIL,1,98,23,45,68,C,Female,Group D,High School,Completed,88.6,32.35,80.89,200.99,22,female,bba,4th year,high school,yes,no,offline,cold,,Excellent
14,MECH,Male,Group A,D,44,Fail,Male,25,Group C,Bachelor,EEE,CSE,97,72,4,No,Student_14,CSE,7,93,26,57,83,B,Female,Group B,High School,Completed,78.71,53.45,32.04,200.99,23,female,bca,1st year,high school,yes,yes,offline,sunny,,Very Good
15,EEE,Female,Group A,A,93,Pass,Female,21,Group B,High School,MECH,ECE,84,86,4,No,Student_15,CIVIL,4,67,25,57,82,B,Female,Group A,Master's Degree,Completed,70.85,60.38,74.51,200.99,22,male,b.tech,2nd year,graduate,yes,yes,offline,hot,,Good
16,ECE,Female,Group C,A,95,Pass,Male,23,Group D,Bachelor,EEE,EEE,77,70,4,No,Student_16,CSE,5,69,30,49,79,B,Female,Group E,Some College,Completed,86.14,57.86,38.99,200.99,23,other,bca,3rd year,graduate,no,yes,offline,cold,,Average
17,CIVIL,Male,Group D,A,86,Pass,Male,21,Group E,PhD,CSE,ECE,74,44,7,No,Student_17,ECE,2,100,28,45,73,B,Male,Group E,High School,Completed,54.06,84.6,53.67,200.99,21,male,b.sc,3rd year,post graduate,no,no,online,cold,,Below Average
18,CIVIL,Male,Group A,C,63,Pass,Female,24,Group C,High School,CSE,CIVIL,95,67,1,No,Student_18,EEE,3,73,36,38,74,B,Female,Group E,Master's Degree,Completed,82.44,30.6,63.13,200.99,18,male,nursing,2nd year,post graduate,yes,yes,offline,sunny,,Poor
19,CSE,Male,Group C,C,58,Pass,Female,19,Group A,High School,EEE,MECH,80,55,7,No,Student_19,CSE,1,80,34,43,77,B,Female,Group D,Some College,Completed,88.44,90,69.64,200.99,23,female,b.sc,4th year,no formal,no,yes,offline,cloudy,,Excellent
20,CSE,Male,Group C,B,76,Pass,Male,22,Group A,Associate,EEE,CIVIL,81,47,7,No,Student_20,ECE,8,82,25,58,83,B,Female,Group D,High School,Completed,81.52,31.57,51.69,200.99,20,male,b.tech,4th year,no formal,yes,no,offline,rainy,,Very Good
21,CIVIL,Male,Group E,D,54,Pass,Male,19,Group C,Associate,CIVIL,CIVIL,74,96,2,Yes,Student_21,CSE,3,70,36,40,76,B,Female,Group A,Associate's Degree,Completed,54.97,66.17,42.88,200.99,21,female,ba,3rd year,post graduate,yes,no,offline,sunny,,Good
22,CSE,Male,Group B,B,76,Pass,Female,23,Group E,Master,MECH,CIVIL,100,89,5,No,Student_22,EEE,2,90,37,35,72,B,Female,Group D,Associate's Degree,Completed,75.8,71.54,82.59,200.99,19,other,ba,3rd year,high school,yes,yes,online,hot,,Average
23,ECE,Female,Group E,B,72,Pass,Male,24,Group C,Master,CIVIL,CSE,91,69,2,No,Student_23,CSE,5,73,31,49,80,B,Male,Group D,Some College,Completed,38.23,52.15,50.73,200.99,18,male,bba,3rd year,no formal,yes,yes,online,cloudy,,Below Average
24,EEE,Male,Group E,A,92,Pass,Female,18,Group C,PhD,CSE,MECH,67,62,8,No,Student_24,ECE,3,87,34,41,75,B,Female,Group C,Bachelor's Degree,Completed,34.86,37.88,38.74,200.99,24,female,nursing,2nd year,graduate,yes,yes,offline,cold,,Poor
25,CIVIL,Male,Group D,A,92,Pass,Female,25,Group D,Associate,EEE,MECH,91,45,6,No,Student_25,EEE,6,81,37,48,85,A,Male,Group B,Some High School,Completed,96.18,72.14,70.7,200.99,23,male,diploma,3rd year,high school,yes,yes,offline,cloudy,,Excellent
26,EEE,Female,Group C,C,56,Pass,Female,24,Group E,Associate,CIVIL,EEE,73,55,4,No,Student_26,EEE,5,75,25,44,69,C,Female,Group A,Some High School,Completed,45.6,32.39,44.94,200.99,22,male,ba,4th year,phd,yes,yes,offline,hot,,Very Good
27,CIVIL,Female,Group C,B,71,Pass,Male,20,Group C,Master,CSE,EEE,64,67,2,No,Student_27,ECE,4,91,23,43,66,C,Male,Group C,High School,Completed,56.58,77.7,38.52,200.99,20,male,diploma,1st year,phd,yes,no,online,cloudy,,Good
28,CIVIL,Female,Group A,B,80,Pass,Female,18,Group D,High School,ECE,CIVIL,69,84,8,No,Student_28,CIVIL,7,72,40,44,84,B,Female,Group D,Associate's Degree,Completed,39.66,42.45,66.27,200.99,23,male,bba,1st year,no formal,no,yes,offline,rainy,,Average
29,EEE,Female,Group B,A,89,Pass,Female,24,Group D,PhD,EEE,CIVIL,64,100,1,Yes,Student_29,EEE,5,77,25,44,69,C,Female,Group E,Bachelor's Degree,Completed,59.15,30.98,77.68,200.99,21,female,b.com,2nd year,post graduate,yes,yes,offline,hot,,Below Average
30,EEE,Male,Group E,A,93,Pass,Female,20,Group B,High School,CSE,CIVIL,98,73,5,No,Student_30,CIVIL,6,68,24,55,79,B,Female,Group E,High School,Completed,79.15,68.69,88.65,200.99,20,other,b.tech,3rd year,phd,yes,no,offline,hot,,Poor
31,CIVIL,Male,Group B,A,86,Pass,Male,21,Group B,Master,CIVIL,EEE,89,87,6,No,Student_31,MECH,6,75,29,58,87,A,Female,Group A,Some College,Completed,44.61,84.46,57.49,200.99,20,other,b.tech,1st year,post graduate,yes,no,offline,rainy,,Excellent
32,MECH,Female,Group E,A,96,Pass,Female,25,Group D,PhD,MECH,ECE,82,62,3,No,Student_32,MECH,4,97,27,39,66,C,Female,Group A,Some High School,Completed,96.86,50.08,78.71,200.99,18,male,b.com,3rd year,post graduate,yes,no,offline,cold,,Very Good
33,CIVIL,Male,Group E,C,68,Pass,Male,24,Group B,Bachelor,CIVIL,MECH,98,58,2,No,Student_33,CIVIL,1,83,30,49,79,B,Male,Group A,High School,Completed,87.86,69.8,69.47,200.99,17,other,nursing,1st year,graduate,yes,yes,offline,hot,,Good
34,MECH,Female,Group D,B,80,Pass,Male,18,Group C,Bachelor,ECE,CSE,60,68,6,No,Student_34,MECH,1,83,32,58,90,A,Female,Group B,Bachelor's Degree,Completed,85.16,44.21,42.52,200.99,21,female,bba,1st year,graduate,yes,no,offline,sunny,,Average
35,MECH,Female,Group D,A,98,Pass,Male,24,Group D,High School,CSE,MECH,94,54,8,No,Student_35,CIVIL,6,78,29,46,75,B,Male,Group A,Associate's Degree,Completed,76.36,87.88,36.23,200.99,24,female,bba,2nd year,no formal,no,yes,offline,hot,,Below Average
36,CIVIL,Male,Group C,B,78,Pass,Male,23,Group C,Associate,CIVIL,CIVIL,65,62,6,No,Student_36,MECH,7,92,35,53,88,A,Male,Group C,Some High School,Completed,66.94,72.56,58.36,200.99,17,other,ba,1st year,no formal,yes,yes,offline,cold,,Poor
37,MECH,Female,Group C,D,48,Fail,Female,20,Group A,Master,EEE,MECH,69,89,3,No,Student_37,EEE,6,69,20,51,71,B,Male,Group D,Bachelor's Degree,Completed,37.16,42.36,32.76,200.99,23,female,b.com,3rd year,post graduate,yes,no,offline,cloudy,,Excellent
38,CSE,Female,Group C,A,89,Pass,Female,18,Group E,PhD,EEE,CSE,100,60,1,No,Student_38,CIVIL,4,80,25,53,78,B,Male,Group B,High School,Completed,74.63,38.22,51.24,200.99,23,male,diploma,3rd year,graduate,yes,yes,offline,sunny,,Very Good
39,CSE,Female,Group E,B,84,Pass,Female,25,Group E,PhD,CIVIL,CSE,78,66,3,No,Student_39,EEE,2,76,27,60,87,A,Male,Group D,Some High School,Completed,93.16,57.91,47.45,200.99,19,female,b.tech,3rd year,no formal,yes,no,offline,rainy,,Good
40,ECE,Male,Group A,A,94,Pass,Female,19,Group C,Bachelor,CIVIL,MECH,63,78,3,No,Student_40,CIVIL,5,79,40,35,75,B,Female,Group D,Bachelor's Degree,Completed,89.41,44.68,64.15,200.99,22,other,bca,3rd year,high school,yes,no,online,cloudy,,Average
41,CIVIL,Male,Group C,B,77,Pass,Male,22,Group C,Master,ECE,CSE,61,90,5,No,Student_41,CIVIL,6,81,21,53,74,B,Male,Group A,Some High School,Completed,86.04,36.77,70.09,200.99,18,other,pharmacy,3rd year,post graduate,yes,no,online,cold,,Below Average
42,ECE,Male,Group C,C,58,Pass,Female,18,Group C,Associate,EEE,ECE,62,71,1,No,Student_42,ECE,1,68,29,42,71,B,Female,Group D,Some College,Completed,65.3,70.66,67.03,200.99,23,male,nursing,3rd year,no formal,no,yes,offline,sunny,,Poor
43,CSE,Female,Group D,C,68,Pass,Male,25,Group A,Master,EEE,EEE,88,70,4,No,Student_43,MECH,6,91,36,42,78,B,Female,Group A,Bachelor's Degree,Completed,35.74,57.03,75.83,200.99,22,other,ba,3rd year,high school,yes,yes,offline,hot,,Excellent
44,ECE,Female,Group D,D,50,Pass,Male,25,Group B,PhD,MECH,ECE,89,42,2,No,Student_44,MECH,7,83,30,60,90,A,Male,Group E,High School,Completed,41.33,54.59,32.71,200.99,19,male,nursing,1st year,phd,yes,no,offline,sunny,,Very Good
45,CSE,Male,Group E,D,45,Fail,Male,22,Group E,PhD,CIVIL,ECE,82,100,2,Yes,Student_45,ECE,6,69,27,57,84,B,Female,Group E,Bachelor's Degree,Completed,35.55,45.46,57.88,200.99,17,other,b.com,3rd year,graduate,yes,yes,offline,cloudy,,Good
46,CIVIL,Female,Group D,D,51,Pass,Female,17,Group E,Bachelor,MECH,CIVIL,89,56,5,No,Student_46,MECH,3,73,30,58,88,A,Female,Group A,High School,Completed,47.24,85.27,41.68,200.99,24,male,b.com,1st year,graduate,yes,yes,offline,hot,,Average
47,CSE,Male,Group B,B,79,Pass,Male,19,Group D,High School,MECH,ECE,85,44,4,No,Student_47,EEE,7,79,33,49,82,B,Male,Group B,Some College,Completed,86.8,57.16,70.8,200.99,20,male,ba,1st year,no formal,yes,yes,offline,cold,,Below Average
48,ECE,Female,Group A,B,76,Pass,Female,20,Group B,Master,CSE,CSE,61,82,4,No,Student_48,CSE,6,85,40,49,89,A,Male,Group D,Associate's Degree,Completed,84.95,39.71,86.09,200.99,24,other,b.tech,4th year,no formal,yes,yes,offline,cold,,Poor
49,EEE,Female,Group C,A,85,Pass,Female,21,Group D,Associate,EEE,CSE,84,92,6,No,Student_49,CSE,1,85,21,45,66,C,Female,Group D,Master's Degree,Completed,51.19,61.86,41.81,200.99,22,female,b.com,1st year,post graduate,yes,yes,offline,rainy,,Excellent
50,CSE,Female,Group B,A,90,Pass,Female,23,Group D,Bachelor,CSE,CIVIL,96,96,2,Yes,Student_50,CIVIL,2,95,31,42,73,B,Male,Group C,Bachelor's Degree,Completed,86.45,88.76,76.69,200.99,23,male,nursing,1st year,high school,yes,yes,offline,rainy,,Very Good
51,CIVIL,Female,Group E,D,42,Fail,Female,18,Group A,Associate,CSE,EEE,60,74,8,No,Student_51,EEE,6,73,29,40,69,C,Female,Group D,High School,Completed,37.93,88.16,69.72,200.99,23,male,diploma,2nd year,high school,yes,no,online,sunny,,Good
52,CSE,Male,Group A,B,71,Pass,Female,17,Group E,Associate,MECH,MECH,85,89,7,No,Student_52,ECE,1,88,40,37,77,B,Female,Group C,Associate's Degree,Completed,88.45,45.49,68.73,200.99,18,male,b.com,4th year,no formal,yes,yes,offline,cold,,Average
53,CSE,Male,Group C,A,87,Pass,Female,22,Group B,PhD,ECE,CSE,93,71,1,No,Student_53,ECE,2,70,40,45,85,A,Female,Group D,High School,Completed,88.1,31.64,72.78,200.99,19,male,b.com,4th year,post graduate,yes,no,offline,hot,,Below Average
54,CSE,Male,Group C,D,51,Pass,Female,23,Group C,Associate,MECH,CIVIL,66,54,6,No,Student_54,CIVIL,1,89,29,51,80,B,Male,Group D,Bachelor's Degree,Completed,75.49,75.6,72.93,200.99,20,other,ba,3rd year,phd,no,no,offline,sunny,,Poor
55,CIVIL,Female,Group E,C,64,Pass,Male,25,Group E,Bachelor,EEE,MECH,99,48,1,No,Student_55,CSE,2,89,20,47,67,C,Male,Group B,Associate's Degree,Completed,64.53,60.74,67.8,200.99,20,male,b.sc,1st year,high school,yes,no,offline,cloudy,,Excellent
56,ECE,Male,Group A,A,93,Pass,Female,23,Group A,Associate,MECH,CIVIL,70,99,2,Yes,Student_56,EEE,7,76,36,43,79,B,Male,Group B,Master's Degree,Completed,69.58,69.83,75.84,200.99,17,male,b.sc,3rd year,high school,yes,yes,offline,hot,,Very Good
57,MECH,Female,Group B,A,85,Pass,Male,23,Group A,Bachelor,CIVIL,MECH,85,54,5,No,Student_57,CIVIL,2,89,26,49,75,B,Male,Group D,High School,Completed,68.81,65.56,48.72,200.99,21,other,pharmacy,4th year,post graduate,yes,no,offline,sunny,,Good
58,ECE,Female,Group D,B,75,Pass,Male,21,Group C,Associate,CIVIL,ECE,66,63,6,No,Student_58,EEE,1,81,31,47,78,B,Male,Group C,Bachelor's Degree,Completed,71.68,41.24,48.97,200.99,18,other,diploma,2nd year,graduate,yes,yes,offline,rainy,,Average
59,CIVIL,Female,Group C,B,76,Pass,Female,20,Group D,Associate,MECH,CSE,86,99,6,Yes,Student_59,MECH,3,97,26,40,66,C,Female,Group C,Some College,Completed,63.8,60.25,44.68,200.99,22,male,diploma,2nd year,post graduate,no,no,online,cold,,Below Average
60,EEE,Male,Group E,B,81,Pass,Male,24,Group A,Bachelor,CSE,ECE,72,80,2,No,Student_60,EEE,2,79,20,49,69,C,Male,Group C,Master's Degree,Completed,43.56,49.95,81.88,200.99,22,female,b.com,4th year,post graduate,yes,no,offline,cold,,Poor
61,CSE,Male,Group D,A,100,Pass,Female,17,Group A,Bachelor,CSE,CSE,75,81,8,No,Student_61,MECH,6,78,30,41,71,B,Male,Group A,Bachelor's Degree,Completed,60.82,33.66,35.85,200.99,24,female,nursing,1st year,post graduate,yes,no,offline,cloudy,,poor
62,CSE,Male,Group B,D,42,Fail,Male,24,Group E,High School,CSE,EEE,67,67,7,No,Student_62,EEE,7,97,30,43,73,B,Male,Group E,Master's Degree,Completed,83.14,34.49,64.61,200.99,22,female,b.sc,4th year,no formal,yes,yes,offline,rainy,,Excellent
63,MECH,Male,Group D,B,84,Pass,Male,18,Group E,High School,CIVIL,ECE,98,74,2,No,Student_63,CIVIL,2,100,20,35,55,C,Female,Group A,High School,Completed,67.04,47.72,63.05,200.99,19,male,pharmacy,2nd year,graduate,yes,yes,offline,hot,,Very Good
64,EEE,Male,Group A,B,79,Pass,Male,19,Group D,PhD,EEE,ECE,80,53,8,No,Student_64,MECH,2,96,21,54,75,B,Female,Group A,Some High School,Completed,84.5,64.12,76.34,200.99,24,other,bba,3rd year,graduate,yes,no,online,cloudy,,Good
65,EEE,Male,Group C,C,55,Pass,Female,20,Group D,Bachelor,EEE,EEE,96,41,4,No,Student_65,MECH,3,77,28,47,75,B,Male,Group E,Some College,Completed,50.79,76.19,55.09,200.99,20,other,b.com,2nd year,phd,yes,yes,offline,hot,,Average
66,EEE,Female,Group A,B,77,Pass,Male,21,Group D,High School,CSE,CIVIL,60,78,8,No,Student_66,CSE,6,90,34,49,83,B,Male,Group E,Associate's Degree,Completed,36.66,40.53,82.93,200.99,19,other,diploma,3rd year,post graduate,yes,yes,online,rainy,,Below Average
67,ECE,Female,Group C,A,96,Pass,Female,22,Group C,PhD,EEE,MECH,70,46,3,No,Student_67,EEE,3,97,38,48,86,A,Male,Group E,Master's Degree,Completed,54.16,60.79,40.42,200.99,24,other,ba,4th year,post graduate,yes,yes,offline,cloudy,,Poor
68,EEE,Female,Group B,C,59,Pass,Female,23,Group A,Master,CIVIL,CSE,65,42,2,No,Student_68,EEE,1,87,39,37,76,B,Male,Group C,Bachelor's Degree,Completed,73.1,73.16,54.82,200.99,19,male,b.com,2nd year,phd,yes,yes,online,hot,,
69,MECH,Female,Group C,A,89,Pass,Male,17,Group E,Master,ECE,CSE,72,42,2,No,Student_69,ECE,7,78,31,54,85,A,Male,Group D,Associate's Degree,Completed,41.7,43.8,46.65,200.99,17,female,diploma,1st year,post graduate,yes,no,online,cold,,
70,CSE,Male,Group D,C,69,Pass,Male,25,Group C,High School,CSE,CSE,77,97,8,Yes,Student_70,MECH,5,91,31,60,91,A,Female,Group E,Master's Degree,Completed,89.13,68.34,38.64,200.99,20,other,diploma,1st year,post graduate,yes,yes,online,cold,,
71,ECE,Female,Group D,A,98,Pass,Female,21,Group A,High School,CSE,EEE,81,82,4,No,Student_71,ECE,4,72,27,54,81,B,Male,Group A,Bachelor's Degree,Completed,74.41,34.8,59.13,200.99,23,female,bca,4th year,graduate,yes,no,offline,cold,,
72,MECH,Female,Group B,A,100,Pass,Female,21,Group E,Associate,CSE,MECH,74,68,3,No,Student_72,CIVIL,8,71,34,49,83,B,Male,Group C,Associate's Degree,Completed,60.31,57.92,42.84,200.99,18,other,bba,4th year,no formal,yes,no,online,sunny,,
73,CSE,Female,Group B,A,89,Pass,Male,21,Group D,PhD,CIVIL,CSE,89,55,3,No,Student_73,CSE,8,97,22,42,64,C,Female,Group C,Some College,Completed,80.61,43.61,64.61,200.99,20,female,b.com,3rd year,post graduate,yes,no,offline,cold,,
74,MECH,Male,Group C,A,94,Pass,Female,24,Group D,High School,CSE,CSE,85,67,8,No,Student_74,MECH,5,86,25,60,85,A,Female,Group C,Some College,Completed,44.84,75.53,74.06,200.99,18,other,ba,1st year,high school,yes,yes,online,rainy,,
75,ECE,Male,Group C,D,53,Pass,Male,19,Group D,Bachelor,CSE,MECH,99,98,1,Yes,Student_75,CSE,2,76,36,48,84,B,Male,Group B,High School,Completed,57.12,39.71,66.24,200.99,22,other,nursing,4th year,no formal,yes,no,offline,cloudy,,
76,CSE,Male,Group B,C,62,Pass,Male,19,Group A,Bachelor,EEE,CIVIL,99,72,7,No,Student_76,ECE,8,72,23,35,58,C,Female,Group D,Bachelor's Degree,Completed,63.99,33.37,50.85,200.99,20,female,ba,2nd year,high school,no,no,offline,sunny,,
77,EEE,Male,Group D,D,44,Fail,Male,19,Group A,Bachelor,CSE,MECH,80,49,1,No,Student_77,CSE,3,74,22,38,60,C,Female,Group A,Some College,Completed,36.4,85.19,33.29,200.99,19,other,pharmacy,1st year,high school,yes,no,online,rainy,,
78,ECE,Female,Group D,B,75,Pass,Male,20,Group A,High School,CIVIL,ECE,71,54,8,No,Student_78,EEE,2,88,31,39,70,B,Female,Group D,High School,Completed,93.69,55.21,57.52,200.99,18,female,b.sc,2nd year,high school,yes,no,online,sunny,,
79,CIVIL,Male,Group C,B,81,Pass,Male,21,Group D,High School,MECH,ECE,86,93,4,No,Student_79,ECE,2,70,40,58,98,A,Female,Group D,Some College,Completed,90.76,67.44,73.92,200.99,21,male,b.sc,4th year,high school,yes,yes,online,cloudy,,
80,EEE,Female,Group A,D,46,Fail,Male,22,Group D,Associate,ECE,EEE,98,73,1,No,Student_80,CIVIL,3,97,21,41,62,C,Male,Group A,Some College,Completed,73.75,57.78,63.35,200.99,22,female,b.com,4th year,phd,yes,yes,offline,sunny,,
81,MECH,Male,Group A,D,49,Fail,Male,25,Group C,High School,CIVIL,MECH,62,70,7,No,Student_81,CSE,1,85,24,45,69,C,Male,Group D,Some High School,Completed,79.79,43.29,32.64,200.99,24,other,b.tech,3rd year,phd,yes,no,offline,cold,,
82,CIVIL,Male,Group E,B,83,Pass,Female,20,Group B,Associate,EEE,CIVIL,82,92,4,No,Student_82,MECH,5,76,36,39,75,B,Male,Group B,Bachelor's Degree,Completed,88.23,50.91,87.77,200.99,20,male,nursing,3rd year,no formal,yes,yes,offline,hot,,
83,MECH,Female,Group E,B,70,Pass,Male,18,Group D,High School,MECH,ECE,70,71,3,No,Student_83,CIVIL,2,76,25,59,84,B,Male,Group E,Some High School,Completed,88.19,89.78,37.78,200.99,18,male,ba,4th year,graduate,yes,no,offline,cloudy,,
84,EEE,Female,Group C,B,75,Pass,Female,23,Group E,Bachelor,CIVIL,CIVIL,80,80,3,No,Student_84,ECE,1,78,36,47,83,B,Female,Group C,Some High School,Completed,95.01,69.55,86.48,200.99,23,female,b.tech,3rd year,high school,yes,no,offline,cold,,
85,MECH,Female,Group A,B,70,Pass,Male,22,Group B,PhD,ECE,EEE,90,45,1,No,Student_85,EEE,8,100,21,47,68,C,Female,Group D,Master's Degree,Completed,90.53,53.31,73.54,200.99,22,female,bca,2nd year,phd,yes,yes,offline,cold,,
86,CIVIL,Female,Group E,A,92,Pass,Male,24,Group C,High School,EEE,CSE,88,97,5,Yes,Student_86,MECH,4,88,24,53,77,B,Female,Group C,Associate's Degree,Completed,56.31,84,55.87,200.99,22,female,pharmacy,1st year,graduate,yes,no,offline,cloudy,,
87,MECH,Male,Group B,A,96,Pass,Female,17,Group D,Master,ECE,CIVIL,86,86,5,No,Student_87,CSE,6,79,28,38,66,C,Female,Group A,Master's Degree,Completed,37.86,46.35,68.47,200.99,17,female,pharmacy,1st year,post graduate,no,no,offline,sunny,,
88,MECH,Female,Group B,A,87,Pass,Male,20,Group B,Master,EEE,CIVIL,60,84,1,No,Student_88,ECE,2,81,37,54,91,A,Male,Group E,Associate's Degree,Completed,39.59,57.35,75.22,200.99,19,female,b.tech,1st year,no formal,yes,no,offline,cold,,
89,CIVIL,Male,Group B,D,53,Pass,Female,25,Group A,Bachelor,EEE,ECE,86,67,1,No,Student_89,ECE,4,98,34,44,78,B,Female,Group A,Bachelor's Degree,Completed,94.7,80.11,61.02,200.99,23,male,nursing,4th year,post graduate,no,no,offline,hot,,
90,ECE,Male,Group C,D,47,Fail,Female,17,Group B,High School,EEE,EEE,95,76,3,No,Student_90,MECH,7,91,32,48,80,B,Male,Group A,High School,Completed,55.93,83.14,63.57,200.99,23,male,ba,1st year,graduate,yes,yes,offline,cold,,
91,CSE,Male,Group E,D,46,Fail,Female,19,Group D,PhD,MECH,CIVIL,85,66,3,No,Student_91,ECE,2,66,22,45,67,C,Male,Group C,Associate's Degree,Completed,69.55,81.53,47.2,200.99,20,other,nursing,1st year,phd,yes,yes,offline,sunny,,
92,ECE,Male,Group B,D,54,Pass,Male,19,Group E,Master,CSE,ECE,89,41,7,No,Student_92,CSE,8,69,32,37,69,C,Female,Group A,Some High School,Completed,95.93,39.45,82.42,200.99,23,female,bca,4th year,no formal,yes,no,offline,cloudy,,
93,CSE,Female,Group C,D,51,Pass,Male,24,Group B,Bachelor,CIVIL,MECH,100,65,1,No,Student_93,MECH,2,89,26,57,83,B,Female,Group E,Master's Degree,Completed,58.88,54.74,76,200.99,23,other,diploma,2nd year,high school,no,yes,offline,hot,,
94,MECH,Male,Group E,D,46,Fail,Male,20,Group C,PhD,EEE,MECH,99,76,2,No,Student_94,EEE,4,88,25,43,68,C,Female,Group D,High School,Completed,85.06,50.52,65.22,200.99,20,female,nursing,1st year,phd,yes,yes,online,cold,,
95,EEE,Female,Group B,A,99,Pass,Male,25,Group A,Associate,CIVIL,EEE,60,69,5,No,Student_95,CIVIL,6,75,24,45,69,C,Female,Group B,Associate's Degree,Completed,84.53,43.73,50.38,200.99,24,male,pharmacy,4th year,high school,yes,no,offline,cloudy,,
96,EEE,Male,Group A,A,97,Pass,Female,24,Group E,Associate,EEE,CIVIL,89,86,6,No,Student_96,CIVIL,4,99,27,43,70,B,Male,Group B,High School,Completed,75,40.22,56.98,200.99,19,female,b.sc,4th year,high school,yes,yes,offline,cloudy,,
97,CIVIL,Male,Group E,D,48,Fail,Female,23,Group A,PhD,ECE,ECE,65,42,3,No,Student_97,EEE,8,77,35,40,75,B,Female,Group C,Some College,Completed,70.35,42.51,81.86,200.99,18,other,diploma,3rd year,high school,yes,no,online,hot,,
